volatility_63d,return_63d,max_drawdown_63d,average_correlation,weighted_correlation,largest_position_weight,top_3_concentration,number_of_assets,market_beta,ten_year_yield,two_year_yield,yield_curve_spread,vix
0.1406985721530391,0.5037433803096495,-0.04907754844411172,0.06205950217356488,0.23331670793367187,0.4375189688738399,0.8324742068506811,6.0,0.7043118101588799,1.47,1.43,0.04,17.33
0.09474556955218527,0.35485239703558974,-0.04199947487653655,0.07920197851572895,0.4045372135487485,0.4336094742876591,0.8904391313983855,4.0,0.7459953148526548,4.22,4.69,-0.47,12.3
0.22315662768361422,0.4337254504044017,-0.09491310715630163,0.24064507863726595,0.6178557509439994,0.49114607545471495,0.944761405857633,4.0,1.3773475799000585,3.98,4.26,-0.28,12.44
0.6035500333829104,0.5226862417145642,-0.2670766563151319,0.5449633633141209,0.5866392247902225,0.3046016919099018,0.7891687819159225,6.0,0.9765187282320555,0.82,0.19,0.63,25.81
0.11169991557765796,0.3639894490310327,-0.019803273089347373,0.0922625994293251,0.27265887620971646,0.34419871754901005,0.8184848002492189,5.0,0.6046289901159666,3.86,4.72,-0.86,13.54
0.2191398765162984,0.9389215446798695,-0.052133821756294996,0.13532134873465385,0.2640929051157488,0.46120117411487344,0.7751436054741745,6.0,0.9733087849609922,1.15,0.11,1.04,22.91
0.19601893159662834,0.3913802831987429,-0.08148259414243209,0.49771352536070335,0.5723977352749062,0.4187832159267133,0.9211540983823596,5.0,0.7889270316029791,3.46,4.11,-0.65,19.08
0.3596198186511647,0.21784915763041,-0.16069925083649594,0.17519131341226615,0.5444409526817717,0.6565761450567108,0.8826631552657039,6.0,1.3277214712754821,0.59,0.14,0.45,25.84
0.13657204157429598,0.14667411085096968,-0.04582645158785548,0.0733299592400754,0.6010552487037654,0.7091684574589946,1.0,3.0,0.42733370247496655,4.28,4.69,-0.41,13.74
0.08754950868117307,0.4368398006822869,-0.030667439463948565,0.02787011146006732,0.2584234151701018,0.3384964058156905,0.7664508455686243,5.0,0.53003608892646,3.95,4.33,-0.38,13.2
0.22178024725625659,0.0831575560755726,-0.10089072209741312,0.5363309526292688,0.7532928125775707,0.37734542608156496,0.8057144729616743,5.0,1.0194706046741924,0.83,0.16,0.67,23.7
0.2962323978462715,-0.4162846702730229,-0.14013351954380604,0.2152604890698443,0.7659147024957034,0.6553827929677175,1.0,3.0,1.3202131972128606,2.72,2.39,0.33,24.26
0.2426651462215791,0.7894560980918901,-0.06788228768573412,0.4269814179159144,0.7009757529167248,0.7407099077642536,1.0,3.0,1.440515903383467,4.01,4.85,-0.84,15.07
0.4226938383648006,-0.5066070971661302,-0.2550942184099392,0.45444784430416724,0.6306545715572099,0.4567268390281229,1.0,3.0,1.2496923799101947,2.77,2.98,-0.21,23.03
0.13447493813701286,-0.10947045888627253,-0.052970274443808196,0.10331038257900053,0.5347578811347259,0.6499175630935319,0.9999999999999999,3.0,0.28349756721264135,1.34,0.11,1.23,22.05
0.2147202763848239,0.2536276803081433,-0.11016759841925983,0.27090956861831555,0.40764609526811507,0.4034802594325659,0.9846205596335018,4.0,1.2095117083082139,3.83,3.94,-0.11,16.19
0.12356386092304711,0.29582819027615537,-0.042951526134560214,0.3071239278957322,0.5440366577637418,0.42393789709837937,0.8283772639074708,6.0,1.2038283058250214,1.26,0.23,1.03,17.91
0.17915441757438158,0.2142590101812203,-0.06038451858079685,0.43078056854334656,0.6806820488280625,0.6284045667226809,1.0,3.0,0.8332098969202186,1.15,0.16,0.99,23.25
0.30790582314393566,0.8935109818578076,-0.05417537908864645,0.46308463659718174,0.563454457366676,0.20817633666188198,0.5503397980398803,6.0,0.8409353880612404,0.69,0.19,0.5,33.84
0.06392159590387349,0.2438346290774215,-0.018878514427951076,-0.11562631136617905,0.2635200044378953,0.5997140172249696,1.0000000000000002,3.0,0.23577788744213574,2.47,2.26,0.21,16.04
0.24558439174930757,-0.07736276244532664,-0.12921557855294308,0.3268646663663218,0.6831649315673235,0.44925429023653635,0.8571702842870537,6.0,1.0152683655891461,2.72,2.56,0.16,19.13
0.15393226530199183,-0.011652421937906117,-0.10813753669501835,0.20295008540350123,0.4157289059424362,0.5334256758275877,0.9724991906325274,4.0,0.8633699148905198,3.52,4.12,-0.6,16.89
0.2421846843366928,0.8888387350273228,-0.07759183515056933,0.07689040204343163,0.32478703573027884,0.3319074007061237,0.8138266885445131,5.0,0.920810952167447,4.43,4.74,-0.31,12.03
0.08512854500893823,0.19010652861586005,-0.0249181662070298,0.10675579987508624,0.3657907371938251,0.35880116932683354,0.8382611079244779,5.0,0.4850575173333381,1.92,1.62,0.3,12.5
0.31142582583550726,-0.02555483697023471,-0.19559344556837666,0.025610320226000634,0.4771635517677837,0.32651259072153277,0.8299998166192073,6.0,1.1440072413247349,2.63,2.45,0.18,16.57
0.1278104065285245,0.14580422136938967,-0.07956090219575618,0.08953356143800693,0.2582746623391558,0.3192188816107702,0.7798714763258741,6.0,0.4366907938832833,2.76,2.55,0.21,13.57
0.2342653055572685,0.38943933898883687,-0.06596380535932533,0.03551256703098549,0.35816529425201116,0.4549536904698487,1.0,3.0,1.3061106077165514,4.13,3.6,0.53,22.38
0.13326594080280718,0.5517999519801707,-0.028524366479901087,0.22431203606460912,0.43773588056075174,0.4412131824297047,0.8677349681363211,6.0,1.2099594128091893,1.57,1.41,0.16,15.49
0.15243050066780348,0.3230379680950993,-0.04320865203473345,0.16156296086237354,0.3727678139952477,0.4654440478136364,0.8944999548001318,5.0,0.7805688338851934,4.22,3.56,0.66,16.15
0.3036968544316571,0.8174169646615452,-0.11251265238322561,0.3353470894721028,0.4489906459587834,0.3222660649802095,0.7253319110451916,6.0,1.3688676341857218,0.68,0.14,0.54,27.78
0.1473480173041525,0.5251321086124622,-0.025733774232110762,0.06389698937548167,0.34463539213621636,0.32253880149742625,0.7275192386191776,6.0,0.8463231032136335,3.7,4.51,-0.81,13.96
0.1806302551615719,0.44712102198420034,-0.041390550609490484,0.26199921474512533,0.46592379721017857,0.4538207595034727,0.845230758047911,4.0,1.0155938895129357,1.61,0.32,1.29,20.0
0.13908256949151698,0.31719778248336655,-0.04749741423753828,0.529998534075775,0.7152259198041663,0.4324741837963871,0.946355121400874,4.0,1.0553905872875486,4.53,4.28,0.25,15.27
0.11858659237975883,0.11775455933075817,-0.06372531176560525,0.1847831461107103,0.8486766978414069,0.7294844720922296,1.0,3.0,1.0749964906793847,4.26,4.98,-0.72,13.84
